strain	designation	gisaid_epi_isl	passage	center	date	month	type	location
B/BRISBANE/60/2008	B/Brisbane/60/2008	EPI_ISL_28264	E4/E4	Centers for Disease Control and Prevention	4/8/2008	Reference	Reference	
B/COLORADO/06/2017	B/Colorado/06/2017	EPI_ISL_264099	E3	Centers for Disease Control and Prevention	25/2/2017	Reference	Reference	
B/VICTORIA/905/2019	B/Victoria/905/2019	EPI_ISL_407256	MDCK1	WHO Collaborating Centre for Reference and Research on Influenza	1/4/2019	Reference	Reference	
B/CANBERRA/3/2020	B/Canberra/3/2020	EPI_ISL_419646	MDCK1	WHO Collaborating Centre for Reference and Research on Influenza	25/1/2020	Reference	Reference	
B/WASHINGTON/02/2019	B/Washington/02/2019	EPI_ISL_410580	"C2, MDCK2"	WHO Collaborating Centre for Reference and Research on Influenza	19/1/2019	Reference	Reference	
B/VICTORIA/2110/2019	B/Victoria/2110/2019	EPI_ISL_428820	E4	WHO Collaborating Centre for Reference and Research on Influenza	29/11/2019	Reference	Reference	
B/SICHUAN-JINGYANG/12048/2019_F	B/Sichuan-Jingyang/12048/2019	EPI_ISL_3613060 	C2/MDCK2	WHO Chinese National Influenza Center	26/11/2019	Reference	Reference	
B/SICHUAN-JINGYANG/12048/2019e	B/Sichuan-Jingyang/12048/2019	EPI_ISL_4197188 	E3	WHO Chinese National Influenza Center	26/11/2019	Reference	Ferret Serology	
B/AUSTRIA/1359417/2021e_F	B/Austria/1359417/2021	EPI_ISL_16967997	E3	WHO Collaborating Centre for Reference and Research on Influenza	16/3/2021	Vaccine	Vaccine	
B/AUSTRIA/1359417/2021_F_S	B/Austria/1359417/2021	EPI_ISL_16899231	MDCK3/MDCK2	WHO Collaborating Centre for Reference and Research on Influenza	16/3/2021	Reference	Ferret Serology	
B/HONG_KONG/269/2017	B/Hong_Kong/269/2017	EPI_ISL_285875	E1	Centers for Disease Control and Prevention	24/5/2017	Reference	Reference	
