strain	designation	gisaid_epi_isl	passage	center	date	month	type	location
A/Tasmania/667/2024_q_sep	A/Tasmania/667/2024	EPI_ISL_19555914	QMC2	Hobart Pathology	2/9/2024	sep	QMC	Australia
A/South_Australia/105/2024_jul	A/South_Australia/105/2024	EPI_ISL_19493414	SIAT1	Institute of Medical and Veterinary Science (IMVS)	1/7/2024	jul	NA	Australia
A/Victoria/1445/2024_jun	A/Victoria/1445/2024	EPI_ISL_19388412	MDCK1	Alfred Hospital	29/6/2024	jun	NA	Australia
A/Tasmania/386/2024_jul	A/Tasmania/386/2024	EPI_ISL_19388404	SIAT1	Royal Hobart Hospital	15/7/2024	jul	NA	Australia
A/Tasmania/356/2024_jul	A/Tasmania/356/2024	EPI_ISL_19388399	SIAT1	Royal Hobart Hospital	11/7/2024	jul	NA	Australia
A/Tasmania/345/2024_jul	A/Tasmania/345/2024	EPI_ISL_19388398	SIAT1	Royal Hobart Hospital	10/7/2024	jul	NA	Australia
A/Tasmania/336/2024_jul	A/Tasmania/336/2024	EPI_ISL_19388397	SIAT1	Royal Hobart Hospital	9/7/2024	jul	NA	Australia
A/Tasmania/322/2024_jul	A/Tasmania/322/2024	EPI_ISL_19388393	SIAT1	Royal Hobart Hospital	7/7/2024	jul	NA	Australia
A/Tasmania/317/2024_jul	A/Tasmania/317/2024	EPI_ISL_19388392	SIAT1	Royal Hobart Hospital	7/7/2024	jul	NA	Australia
A/Tasmania/314/2024_jul	A/Tasmania/314/2024	EPI_ISL_19388391	SIAT1	Royal Hobart Hospital	6/7/2024	jul	NA	Australia
A/Victoria/1958/2024_jul	A/Victoria/1958/2024	EPI_ISL_19388389	SIAT1	Monash Medical Centre	18/7/2024	jul	NA	Australia
A/Victoria/1956/2024_jul	A/Victoria/1956/2024	EPI_ISL_19388387	SIAT1	Monash Medical Centre	17/7/2024	jul	NA	Australia
A/Victoria/1953/2024_jul	A/Victoria/1953/2024	EPI_ISL_19388385	SIAT1	Monash Medical Centre	16/7/2024	jul	NA	Australia
A/Victoria/1952/2024_jul	A/Victoria/1952/2024	EPI_ISL_19388384	SIAT1	Monash Medical Centre	16/7/2024	jul	NA	Australia
A/Victoria/1757/2024_jul	A/Victoria/1757/2024	EPI_ISL_19388376	SIAT1	Monash Medical Centre	14/7/2024	jul	NA	Australia
A/Victoria/1755/2024_jul	A/Victoria/1755/2024	EPI_ISL_19388374	SIAT1	Monash Medical Centre	14/7/2024	jul	NA	Australia
A/Victoria/1744/2024_jul	A/Victoria/1744/2024	EPI_ISL_19388365	SIAT1	Monash Medical Centre	12/7/2024	jul	NA	Australia
A/Victoria/1740/2024_jul	A/Victoria/1740/2024	EPI_ISL_19388361	SIAT1	Monash Medical Centre	11/7/2024	jul	NA	Australia
A/Victoria/1738/2024_jul	A/Victoria/1738/2024	EPI_ISL_19388359	SIAT1	Monash Medical Centre	11/7/2024	jul	NA	Australia
A/Victoria/1733/2024_jul	A/Victoria/1733/2024	EPI_ISL_19388356	SIAT1	Monash Medical Centre	9/7/2024	jul	NA	Australia
A/Victoria/1731/2024_jul	A/Victoria/1731/2024	EPI_ISL_19388355	SIAT1	Monash Medical Centre	9/7/2024	jul	NA	Australia
A/Victoria/1729/2024_jul	A/Victoria/1729/2024	EPI_ISL_19388353	SIAT1	Monash Medical Centre	9/7/2024	jul	NA	Australia
A/Nelson_Marlborough/07/2024_jun	A/Nelson_Marlborough/07/2024	EPI_ISL_19383621	"MDCK, MDCK1"	Institute of Environmental Science and Research (ESR)	12/6/2024	jun	NA	Australia
A/Perth/821A/2024_jun	A/Perth/821A/2024	EPI_ISL_19383620	MDCK1	Pathwest QE II Medical Centre	5/6/2024	jun	NA	Australia
A/Sydney/595/2024_jul	A/Sydney/595/2024	EPI_ISL_19383619	SIAT1	"Clinical Virology Unit, CDIM"	7/7/2024	jul	NA	Australia
A/Sydney/585/2024_jul	A/Sydney/585/2024	EPI_ISL_19383617	SIAT1	"Clinical Virology Unit, CDIM"	5/7/2024	jul	NA	Australia
A/Victoria/1522/2024_jul	A/Victoria/1522/2024	EPI_ISL_19383612	SIAT1	Royal Chidrens Hospital	16/7/2024	jul	NA	Australia
A/Victoria/1537/2024_jul	A/Victoria/1537/2024	EPI_ISL_19383611	SIAT1	Royal Chidrens Hospital	8/7/2024	jul	NA	Australia
A/Darwin/1078/2024_o_jul	A/Darwin/1078/2024	EPI_ISL_19383608	ORIGINAL	Royal Darwin Hospital	6/7/2024	jul	Original - o	Australia
A/Sri_Lanka/79/2024_o_jul	A/Sri_Lanka/79/2024	EPI_ISL_19383607	ORIGINAL	Medical Research Institute	20/7/2024	jul	Original - o	Australia
A/Sri_Lanka/77/2024_o_jul	A/Sri_Lanka/77/2024	EPI_ISL_19383606	ORIGINAL	Medical Research Institute	14/7/2024	jul	Original - o	Australia
A/Sri_Lanka/73/2024_o_jul	A/Sri_Lanka/73/2024	EPI_ISL_19383605	ORIGINAL	Medical Research Institute	4/7/2024	jul	Original - o	Australia
A/Sri_Lanka/61/2024_o_may	A/Sri_Lanka/61/2024	EPI_ISL_19383604	ORIGINAL	Medical Research Institute	25/5/2024	may	Original - o	Australia
A/Sri_Lanka/58/2024_o_may	A/Sri_Lanka/58/2024	EPI_ISL_19383603	ORIGINAL	Medical Research Institute	9/5/2024	may	Original - o	Australia
A/Sri_Lanka/56/2024_o_may	A/Sri_Lanka/56/2024	EPI_ISL_19383602	ORIGINAL	Medical Research Institute	2/5/2024	may	Original - o	Australia
