strain	designation	gisaid_epi_isl	passage	center	date	month	type	location
A/Tasmania/25/2025_jan	A/Tasmania/25/2025	EPI_ISL_19812928	MDCK1	Royal Hobart Hospital	15/1/2025	jan	NA	Australia
A/Darwin/274/2025_mar_o	A/Darwin/274/2025	EPI_ISL_19812995	ORIGINAL	Royal Darwin Hospital	2/3/2025	mar	NA	Australia
A/Darwin/247/2025_mar	A/Darwin/247/2025	EPI_ISL_19813025	SIAT1	Royal Darwin Hospital	1/3/2025	mar	NA	Australia
A/Victoria/152/2025_jan	A/Victoria/152/2025	EPI_ISL_19813016	SIAT1	Monash Medical Centre	4/1/2025	jan	NA	Australia
A/Victoria/252/2025_feb	A/Victoria/252/2025	EPI_ISL_19813030	SIAT1	Monash Medical Centre	17/2/2025	feb	NA	Australia
A/Canberra/45/2025_jan_e	A/Canberra/45/2025	EPI_ISL_19812956	E2	Canberra Hospital	13/1/2025	jan	NA	Australia
A/Sydney/52/2025_feb	A/Sydney/52/2025	EPI_ISL_19813008	MDCK1	Childrens Hospital Westmead	19/2/2025	feb	NA	Australia
A/Tasmania/49/2025_feb	A/Tasmania/49/2025	EPI_ISL_19812980	MDCK1	Royal Hobart Hospital	21/2/2025	feb	NA	Australia
A/Victoria/226/2025_jan	A/Victoria/226/2025	EPI_ISL_19812974	SIAT1	Monash Medical Centre	23/1/2025	jan	NA	Australia
A/Canberra/93/2025_feb	A/Canberra/93/2025	EPI_ISL_19813023	MDCK2	Canberra Hospital	6/2/2025	feb	NA	Australia
A/Victoria/190/2025_feb	A/Victoria/190/2025	EPI_ISL_19813003	SIAT1	Royal Melbourne Hospital	19/2/2025	feb	NA	Australia
A/New_Caledonia/50/2024_dec_o	A/New_Caledonia/50/2024	EPI_ISL_19812893	ORIGINAL	Institut Pasteur New Caledonia	3/12/2024	dec	NA	New Caledonia
A/Sydney/47/2025_feb	A/Sydney/47/2025	EPI_ISL_19812903	SIAT1	"Clinical Virology Unit, CDIM"	18/2/2025	feb	NA	Australia
A/New_Caledonia/54/2024_dec	A/New_Caledonia/54/2024	EPI_ISL_19812897	MDCK1	Institut Pasteur New Caledonia	9/12/2024	dec	NA	New Caledonia
A/Tasmania/32/2025_jan	A/Tasmania/32/2025	EPI_ISL_19813040	MDCK2	Royal Hobart Hospital	24/1/2025	jan	NA	Australia
A/Brisbane/17/2025_feb	A/Brisbane/17/2025	EPI_ISL_19812896	SIAT1	Princess Alexandra Hospital	17/2/2025	feb	NA	Australia
A/Victoria/235/2025_feb	A/Victoria/235/2025	EPI_ISL_19812978	SIAT1	Monash Medical Centre	10/2/2025	feb	NA	Australia
A/Victoria/250/2025_mar_o	A/Victoria/250/2025	EPI_ISL_19813000	ORIGINAL	Royal Melbourne Hospital	3/3/2025	mar	NA	Australia
A/Canberra/108/2025_feb_o	A/Canberra/108/2025	EPI_ISL_19812964	ORIGINAL	Canberra Hospital	24/2/2025	feb	NA	Australia
A/Darwin/230/2025_feb	A/Darwin/230/2025	EPI_ISL_19813019	SIAT1	Royal Darwin Hospital	25/2/2025	feb	NA	Australia
